Category,asin,Rank,Product Name,Rating,Rating Count,Price,tag
Coffee Filters,B08YFLQ3NK,1.0,"TGL Co. The Good Life Company Hario V60 Coffee Paper Filter (Size 02, 100 Count, White)",4.5,499.0,413.0,Coffee Paper Filter
Disposable Coffee Filters,B08YFLQ3NK,1.0,"TGL Co. The Good Life Company Hario V60 Coffee Paper Filter (Size 02, 100 Count, White)",4.5,499.0,413.0,Coffee Paper Filter
Coffee Maker Accessories,B08YFLQ3NK,2.0,"TGL Co. The Good Life Company Hario V60 Coffee Paper Filter (Size 02, 100 Count, White)",4.5,499.0,413.0,Coffee Paper Filter
Disposable Coffee Filters,B001U7CVEA,7.0,"Hario V60 Misarashi Coffee Paper Filter (Size 01, 100 Count, White)",4.5,6110.0,351.0,Coffee Paper Filter
Coffee Filters,B001U7CVEA,7.0,"Hario V60 Misarashi Coffee Paper Filter (Size 01, 100 Count, White)",4.5,6110.0,410.0,Coffee Paper Filter
"Coffee, Tea & Espresso",B08YFLQ3NK,21.0,"TGL Co. The Good Life Company Hario V60 Coffee Paper Filter (Size 02, 100 Count, White)",4.5,499.0,413.0,Coffee Paper Filter
Disposable Coffee Filters,B073RWF7NT,26.0,"Hario V60 Misarashi Coffee Paper Filter (Size 02, 200-count, Natural)",4.8,4248.0,1494.0,Coffee Paper Filter
Coffee Maker Accessories,B001U7CVEA,27.0,"Hario V60 Misarashi Coffee Paper Filter (Size 01, 100 Count, White)",4.5,6110.0,410.0,Coffee Paper Filter
Coffee Filters,B0029PVRXS,22.0,"HARIO Coffee Paper Filters (Size 02, 100 Sheets, Natural) (V60 Filters)",4.5,3791.0,,Coffee Paper Filters
Capsule Baskets,B09ZQBJQQJ,6.0,"Coffee Pod Holder, Organizer for K Cup, Storage for Coffee Station Counter, Compatible with Nespresso Capsule& Keurig Pods, Coffee Bar Accessories, Acrylic 4 Compartment with Lid - Clear",4.7,125.0,7717.0,Coffee Pod Holder
Capsule Drawers,B088FG76B9,21.0,Coffee Pod Holder Storage Rack Capsules Capacity Drawer for Nespresso Vertuoline (Bottomless with handle-40 pods),4.7,363.0,9724.76,Coffee Pod Holder
Capsule Stands,B07SBQN3D5,16.0,Large-Capacity 12-Sided Polygon Elegant Coffee Pods Holder for Nespresso Vertuoline Capsule,4.5,2681.0,3096.54,Coffee Pods Holder
Disposable Coffee Filters,B09MS5JD7Q,5.0,KaldiPress Coffee Press Percolator with Metal and 500 Paper Filters (Black),4.6,249.0,1499.0,Coffee Press Percolator with Filters
Coffee Filters,B09MS5JD7Q,5.0,KaldiPress Coffee Press Percolator with Metal and 500 Paper Filters (Black),4.6,249.0,1499.0,Coffee Press Percolator with Filters
